Origin Time UTC,Local Time,Mag,Type,Latitude,Longitude,Depth (km),Region Name,Status,Last Update
2016/04/18 07:56:18,2016/04/18 02:56:18,3.1,M,0.30,-80.33,9,Near Coast of Ecuador,M,2016/04/18 09:10:40
2016/04/18 07:53:24,2016/04/18 02:53:24,3.5,M,-0.24,-80.87,15,Near Coast of Ecuador,M,2016/04/18 09:33:56
2016/04/18 07:42:08,2016/04/18 02:42:08,3.6,M,0.52,-80.24,10,Near Coast of Ecuador,M,2016/04/18 09:31:06
2016/04/18 07:34:37,2016/04/18 02:34:37,3.3,M,0.72,-80.09,0,Ecuador - Esmeraldas,M,2016/04/18 09:28:55
2016/04/18 07:24:15,2016/04/18 02:24:15,3.3,M,-0.26,-80.14,6,Near Coast of Ecuador,M,2016/04/18 07:30:25
2016/04/18 06:54:21,2016/04/18 01:54:21,3.2,M,-0.02,-80.25,8,Near Coast of Ecuador,M,2016/04/18 06:58:06
2016/04/18 06:46:49,2016/04/18 01:46:49,3.3,M,-0.50,-80.58,7,Near Coast of Ecuador,M,2016/04/18 06:54:45
2016/04/18 06:43:29,2016/04/18 01:43:29,3.1,M,0.25,-79.93,11,Near Coast of Ecuador,M,2016/04/18 06:53:25
2016/04/18 06:34:26,2016/04/18 01:34:26,3.2,M,-0.26,-80.46,3,Near Coast of Ecuador,M,2016/04/18 06:39:24
2016/04/18 06:21:16,2016/04/18 01:21:16,3.3,M,-0.22,-80.46,8,Near Coast of Ecuador,M,2016/04/18 06:24:53
2016/04/18 06:16:06,2016/04/18 01:16:06,3.6,M,0.49,-80.14,6,Near Coast of Ecuador,M,2016/04/18 06:23:22
2016/04/18 05:39:13,2016/04/18 00:39:13,3.4,M,-0.11,-80.26,7,Near Coast of Ecuador,M,2016/04/18 05:57:09
2016/04/18 05:20:35,2016/04/18 00:20:35,3.8,M,0.37,-80.45,7,Near Coast of Ecuador,M,2016/04/18 05:40:15
2016/04/18 05:17:36,2016/04/18 00:17:36,3.5,M,-0.91,-80.94,19,Near Coast of Ecuador,M,2016/04/18 05:36:44
2016/04/18 05:11:30,2016/04/18 00:11:30,3.2,M,-0.16,-80.79,7,Near Coast of Ecuador,M,2016/04/18 05:31:04
2016/04/18 05:05:17,2016/04/18 00:05:17,4.3,M,-0.14,-80.56,8,Near Coast of Ecuador,M,2016/04/18 05:18:38
2016/04/18 04:42:58,2016/04/17 23:42:58,3.4,M,-0.03,-80.41,9,Near Coast of Ecuador,M,2016/04/18 05:03:08
2016/04/18 04:26:04,2016/04/17 23:26:04,4.2,M,-0.09,-80.77,10,Near Coast of Ecuador,M,2016/04/18 04:30:17
2016/04/18 04:12:32,2016/04/17 23:12:32,3.0,M,0.25,-79.89,10,Near Coast of Ecuador,M,2016/04/18 04:16:02
2016/04/18 03:52:44,2016/04/17 22:52:44,3.7,M,-0.32,-80.31,13,Ecuador - Manabi,M,2016/04/18 03:56:51
2016/04/18 03:48:40,2016/04/17 22:48:40,3.9,M,-0.23,-80.91,10,Near Coast of Ecuador,M,2016/04/18 03:54:30
2016/04/18 03:26:45,2016/04/17 22:26:45,3.7,M,0.53,-80.58,81,Near Coast of Ecuador,M,2016/04/18 04:21:05
2016/04/18 02:40:21,2016/04/17 21:40:21,3.7,M,0.02,-80.72,6,Near Coast of Ecuador,M,2016/04/18 02:47:31
2016/04/18 02:39:05,2016/04/17 21:39:05,3.9,M,-0.16,-81.05,5,Off Coast of Ecuador,M,2016/04/18 02:46:01
2016/04/18 02:36:48,2016/04/17 21:36:48,3.2,M,-0.02,-80.44,9,Near Coast of Ecuador,M,2016/04/18 02:44:11
2016/04/18 02:34:31,2016/04/17 21:34:31,3.0,M,-0.32,-80.49,43,Near Coast of Ecuador,M,2016/04/18 02:44:03
2016/04/18 02:20:13,2016/04/17 21:20:13,3.4,M,0.01,-80.89,6,Near Coast of Ecuador,M,2016/04/18 02:34:34
2016/04/18 02:17:57,2016/04/17 21:17:57,3.0,M,-0.93,-80.76,23,Near Coast of Ecuador,M,2016/04/18 02:28:32
2016/04/18 02:17:10,2016/04/17 21:17:10,3.1,M,-1.16,-77.87,10,Ecuador - Napo,M,2016/04/18 02:25:32
2016/04/18 02:09:26,2016/04/17 21:09:26,4.1,M,-0.70,-81.08,5,Off Coast of Ecuador,M,2016/04/18 02:30:33
2016/04/18 02:02:04,2016/04/17 21:02:04,3.3,M,0.38,-80.51,5,Near Coast of Ecuador,M,2016/04/18 02:09:34
2016/04/18 01:01:07,2016/04/17 20:01:07,3.0,M,0.42,-80.44,2,Near Coast of Ecuador,M,2016/04/18 01:07:11
2016/04/18 00:52:17,2016/04/17 19:52:17,3.4,M,0.09,-80.33,4,Near Coast of Ecuador,M,2016/04/18 00:59:30
2016/04/18 00:50:46,2016/04/17 19:50:46,3.4,M,0.09,-80.44,5,Near Coast of Ecuador,M,2016/04/18 00:55:40
2016/04/18 00:38:53,2016/04/17 19:38:53,4.8,M,0.39,-80.24,5,Near Coast of Ecuador,M,2016/04/18 00:42:28
2016/04/18 00:21:13,2016/04/17 19:21:13,3.1,M,0.22,-79.98,10,Near Coast of Ecuador,M,2016/04/18 00:28:07
2016/04/18 00:12:21,2016/04/17 19:12:21,3.4,M,0.70,-80.24,4,Near Coast of Ecuador,M,2016/04/18 07:20:46
2016/04/17 23:44:14,2016/04/17 18:44:14,4.2,M,0.04,-80.68,3,Near Coast of Ecuador,M,2016/04/17 23:57:12
2016/04/17 23:24:52,2016/04/17 18:24:52,3.6,M,-0.28,-80.57,6,Near Coast of Ecuador,M,2016/04/17 23:40:10
2016/04/17 23:19:25,2016/04/17 18:19:25,3.4,M,0.35,-80.65,12,Near Coast of Ecuador,M,2016/04/17 23:36:10
2016/04/17 23:17:14,2016/04/17 18:17:14,3.2,M,0.19,-80.25,5,Near Coast of Ecuador,M,2016/04/17 23:34:39
2016/04/17 23:15:58,2016/04/17 18:15:58,3.1,M,0.55,-80.19,5,Near Coast of Ecuador,M,2016/04/17 23:32:39
2016/04/17 23:04:38,2016/04/17 18:04:38,3.5,M,-0.70,-80.61,5,Near Coast of Ecuador,M,2016/04/17 23:25:48
2016/04/17 22:30:05,2016/04/17 17:30:05,3.3,M,0.45,-80.77,11,Near Coast of Ecuador,M,2016/04/17 22:42:14
2016/04/17 22:28:26,2016/04/17 17:28:26,3.1,M,-0.07,-80.39,8,Near Coast of Ecuador,M,2016/04/17 22:32:53
2016/04/17 22:21:17,2016/04/17 17:21:17,4.1,M,-0.19,-80.96,6,Near Coast of Ecuador,M,2016/04/17 22:26:03
2016/04/17 22:17:28,2016/04/17 17:17:28,3.3,M,0.65,-80.02,5,Ecuador - Esmeraldas,M,2016/04/17 22:25:16
2016/04/17 22:11:18,2016/04/17 17:11:18,3.9,M,0.07,-80.97,2,Near Coast of Ecuador,M,2016/04/17 22:17:44
2016/04/17 21:39:47,2016/04/17 16:39:47,4.0,M,0.03,-80.81,7,Near Coast of Ecuador,M,2016/04/17 22:43:34
2016/04/17 21:35:15,2016/04/17 16:35:15,4.8,M,-0.87,-80.63,7,Near Coast of Ecuador,M,2016/04/17 21:41:14
2016/04/17 21:24:46,2016/04/17 16:24:46,3.3,M,-0.56,-80.32,6,Near Coast of Ecuador,M,2016/04/17 21:31:41
2016/04/17 20:58:46,2016/04/17 15:58:46,3.1,M,0.60,-80.01,5,Ecuador - Esmeraldas,M,2016/04/17 21:04:56
2016/04/17 20:45:56,2016/04/17 15:45:56,3.2,M,0.05,-80.53,4,Near Coast of Ecuador,M,2016/04/17 21:09:58
2016/04/17 20:24:03,2016/04/17 15:24:03,5.0,M,0.64,-79.89,10,Near Coast of Ecuador,A,2016/04/17 20:28:39
